139|Restraint of Tongue and Pen||CAT_001
140|Rule 62|“Don’t take yourself too damn seriously”|CAT_001
141|Sanity||CAT_001
142|Secrets |(You’re Only as Sick as Your Secrets)|CAT_001
143|Self-Acceptance||CAT_001
144|Self-Centeredness||CAT_001
145|Self Esteem||CAT_001
146|Self-Pity||CAT_001
147|Self-Supporting||CAT_001
148|Selfishness||CAT_001
149|Serenity||CAT_001
150|Serenity Prayer||CAT_008
151|Service||CAT_001
152|Sick and Tired of Being Sick and Tired||CAT_006
153|Slips||CAT_001
154|Slogans/AA Sayings||CAT_001
155|Spiritual Awakening||CAT_001
156|Spiritual Part of the Program||CAT_001
157|Spirituality||CAT_001
158|Sponsorship||CAT_004
159|Staying Away from the First Drink||CAT_001
160|Staying in the Now||CAT_001
161|Step 1:|We admitted we were powerless over alcohol, that our lives had become unmanageable.|CAT_003
162|Step 2:|Came to believe that a Power greater than ourselves could restore us to sanity.|CAT_003
163|Step 3:|Made a decision to turn our will and our lives over to the care of God as we understood Him.|CAT_003
164|Step 4:|Made a searching and fearless moral inventory of ourselves.|CAT_003
165|Step 5:|Admitted to God, to ourselves, and to another human being the exact nature of our wrongs.|CAT_003
166|Step 6:|Were entirely ready to have God remove all these defects of character.|CAT_003
167|Step 7: |Humbly asked Him to remove our shortcomings.|CAT_003
168|Step 8:|Made a list of all persons we had harmed, and became willing to make amends to them all.|CAT_003
169|Step 9:|Made direct amends to such people wherever possible, except when to do so would injure them or others.|CAT_003
170|Step 10:|Continued to take personal inventory, and when we were wrong, promptly admitted it.|CAT_003
171|Step 11:|Sought through prayer and meditation to improve our conscious contact with God as we understood Him, praying only for knowledge of His will for us and the power to carry that out.|CAT_003
172|Step 12:|Having had a spiritual awakening as the result of these steps, we tried to carry this message to alcoholics, and to practice these principles in all our affairs.|CAT_003
173|Stress|(Coping with Stress)|CAT_001
174|Suggestions|(Taking the Suggestions)|CAT_001
175|Surrender||CAT_001
176|Taking Risks||CAT_001
177|To Thine Own Self Be True||CAT_001
178|Think, Think, Think||CAT_001
179|This Too Shall Pass||CAT_001
180|Time (Time Takes Time)||CAT_001
181|Love & Tolerance|(of others)|CAT_001
182|Trust|(learning how, building it with others)|CAT_001
183|Trust the process||CAT_001
184|Turning it Over||CAT_001
185|Twenty-four Hours a Day|(one hour, one minute at a time)|CAT_001
186|Unmanageability||CAT_001
187|Using the Telephone||CAT_001
188|We are not a glum lot||CAT_001
189|We Program||CAT_001
190|What Convinced You|That You Had a Problem?|CAT_001
191|Unity, Service, and Recovery||CAT_001
192|What do You do to Stay Sober?||CAT_001
193|Why Are You Here?||CAT_001
194|Will power||CAT_001
195|Willing to go to Any Lengths||CAT_001
196|Willingness||CAT_001
197|Wisdom to Know|the Difference (Serenity Prayer)|CAT_008
198|Wreckage of the Past||CAT_001
199|Yet’s||CAT_001
